id,word,polarity
1,abaissement,negative
2,abaisser,negative
3,abandon,negative
4,abandonner,negative
5,abaondonnées,negative
6,abasourdir,negative
7,abasourdissement,positive
8,abat,negative
9,abattement,negative
10,abattoir,negative
11,abattre,negative
12,abattu,negative
13,abbé,negative
14,abcès,negative
15,abdiquer,negative
16,abdomen,positive
17,abdominal,positive
18,abeille,negative
19,aberration,negative
20,aberrer,negative
21,abhorrer,negative
22,abîme,negative
23,abîmer,negative
24,abject,negative
25,abjection,negative
26,ablation,negative
27,aboiement,negative
28,abolir,negative
29,abolition,negative
30,abominable,negative
31,abomination,negative
32,abondant,positive
33,abonder,positive
34,abonnement,positive
35,aborder,positive
36,aborigène,positive
37,abortif,negative
38,aboulie,negative
39,aboutir,positive
40,aboyer,negative
41,abpimée,negative
42,abrasifs,negative
43,abrasion,negative
44,abréaction,positive
45,abréger,positive
46,abreuver,positive
47,abreuvoir,positive
48,abréviation,positive
49,abriter,positive
50,abrogation,negative
51,abroger,negative
52,abrupt,negative
53,abrutir,negative
54,abrutissement,negative
55,absence,negative
56,absent,negative
57,absentéisme,negative
58,absinthe,negative
59,absolution,positive
60,absorbant,positive
61,absorber,positive
62,absorption,positive
63,absoudre,positive
64,abstention,negative
65,abstinence,negative
66,abstraction,negative
67,abstraire,positive
68,absurde,negative
69,absurdité,negative
70,abusi,negative
71,académie,positive
72,académique,positive
73,acariâtreté,negative
74,accablant,negative
75,accablement,negative
76,accabler,negative
77,accalmie,negative
78,accalmir,positive
79,accéder,positive
80,accélérateur,negative
81,accélération,positive
82,accentuation,positive
83,accentuer,positive
84,acceptable,positive
85,acceptant,positive
86,acceptation,positive
87,accepter,positive
88,accès,positive
89,accessible,positive
90,accession,positive
91,accessoire,negative
92,accessoirement,negative
93,accident,negative
94,accidentel,negative
95,accidentellement,negative
96,accidenter,negative
97,acclamation,positive
98,acclamer,positive
99,accointance,positive
100,Accoisement,positive
101,accolade,positive
102,accommodation,positive
103,accommoder,positive
104,accompagnement,positive
105,accompagner,positive
106,accomplir,positive
107,accomplissement,positive
108,accord,positive
109,accordable,positive
110,accordéon,positive
111,accorder,positive
112,accortise,positive
113,accoster,negative
114,accoutumer,positive
115,accréditer,positive
116,accro,negative
117,accroc,negative
118,accrochage,negative
119,accrocher,negative
120,accroire,positive
121,accroire|accroître,positive
122,accroissement,positive
123,accroître,positive
124,accroupir,negative
125,accroupissement,negative
126,accueil,positive
127,accueillir,positive
128,accumuler,positive
129,accus,negative
130,accusateur,negative
131,accusatif,negative
132,accusation,negative
133,accuser,negative
134,acerbité,negative
135,acérer,negative
136,acescence,negative
137,acétique,negative
138,acharner,negative
139,achat,positive
140,acheter,positive
141,acheteur,positive
142,achèvement,positive
143,achever,positive
144,acide,negative
145,acidité,negative
146,acier,positive
147,acompte,positive
148,acouphène,negative
149,acoustique,positive
150,acquéreur,positive
151,acquérir,positive
152,acquiescement,positive
153,acquisition,positive
154,âcre,negative
155,âcreté,negative
156,acrimon,negative
157,acrimonie,negative
158,acrobate,positive
159,acte,positive
160,actif,positive
161,action,positive
162,actionnable,negative
163,actionnaire,positive
164,active,positive
165,activité,positive
166,actuaire,positive
167,actualité,positive
168,actuel,positive
169,acuité,positive
170,acupuncture,positive
171,adage,positive
172,adaptabilité,positive
173,adaptable,positive
174,adaptation,positive
175,adapter,positive
176,addenda,positive
177,addict,negative
178,addiction,negative
179,additif,negative
180,addition,positive
181,additionnel,positive
182,additionner,positive
183,adepte,positive
184,adéquat,positive
185,adéquation,positive
186,adhérence,positive
187,adhérent,positive
188,adhérer,positive
189,adhésif,positive
190,adhésion,positive
191,adieu,negative
192,adipeux,negative
193,adjacent,positive
194,adjectif,positive
195,adjectival,positive
196,adjoindre,positive
197,adjuvant,positive
198,admettre,positive
199,administrateur,positive
200,administratif,positive
201,administration,positive
202,administrer,positive
203,admir,positive
204,admirable,positive
205,admirateur,positive
206,admiration,positive
207,admirer,positive
208,admissibilité,positive
209,admissible,positive
210,admission,positive
211,admoni,negative
212,admonition,negative
213,ado|ados,positive
214,adobe,positive
215,adolescence,positive
216,adolescent,positive
217,adopter,positive
218,adoption,positive
219,ador,positive
220,adorable,positive
221,adoration,positive
222,adorer,positive
223,adosser,positive
224,adoucir,positive
225,adoucissant,positive
226,adoucissement,positive
227,adrénaline,positive
228,adresse,positive
229,adresser,positive
230,adroit,positive
231,adulation,positive
232,adulte,positive
233,adulterat,negative
234,adultère,negative
235,adverbes,negative
236,adversaire,negative
237,adverse,negative
238,adversité,negative
239,adynamie,negative
240,aération,positive
241,aérer,positive
242,aérien,positive
243,aérodrome,positive
244,aérodynamique,positive
245,aéroglisseur,positive
246,aéronautique,positive
247,aéroport,positive
248,aérosol,positive
249,affabilité,positive
250,affable,positive
251,affadissement,negative
252,affaiblir,negative
253,affaiblissement,negative
254,affaire,positive
255,affairement,positive
256,affaisés,negative
257,affaissement,negative
258,affaisser,negative
259,affalement,negative
260,affamé,negative
261,affamer,negative
262,affect,positive
263,affectation,positive
264,affecter,negative
265,affection,positive
266,affectueux,positive
267,affichage,positive
268,affiche,positive
269,afficher,positive
270,affidavit,positive
271,affiliation,positive
272,affilier,positive
273,affinage,positive
274,affiner,positive
275,affinité,positive
276,affirmatif,positive
277,affirmation,positive
278,affirmative,positive
279,affirmativement,positive
280,affirmer,positive
281,affixe,positive
282,affliction,negative
283,affligent,negative
284,affliger,negative
285,affluent,positive
286,affluer,negative
287,afflux,negative
288,affolement,negative
289,affoler,negative
290,affres,negative
291,affréter,positive
292,affreux,negative
293,affriander,positive
294,Affriolement,positive
295,affront,negative
296,affronter,negative
297,âffuté,negative
298,âffutée,negative
299,âffutées,negative
300,âffutés,negative
301,agacement,negative
302,agacer,negative
303,agate,positive
304,âge,negative
305,âgé,negative
306,agence,positive
307,agenouillement,negative
308,agenouiller,negative
309,agent,positive
310,agglomération,positive
311,agglomérer,negative
312,aggravat,negative
313,aggravation,negative
314,aggraver,negative
315,aggressifs,negative
316,agile,positive
317,agilité,positive
318,agir,positive
319,agissements,positive
320,agitat,negative
321,agitation,negative
322,agité,negative
323,agiter,negative
324,agneau,positive
325,agnostique,negative
326,agonie,negative
327,agonir,negative
328,agoniz,negative
329,agrafe,positive
330,agrafer,positive
331,agrandir,negative
332,agréable,positive
333,agreeab,positive
334,agrégat,negative
335,agrégation,negative
336,agrément,positive
337,agresser,negative
338,agresseur,negative
339,agressif,negative
340,agression,negative
341,agressivité,negative
342,agricole,positive
343,agriculteur,positive
344,agriculture,positive
345,aguicher,positive
346,ah,positive
347,ahi,negative
348,ahurir,negative
349,ahurissant,negative
350,ahurissement,positive
351,aide,positive
352,aider,positive
353,aïe,negative
354,aigle,positive
355,aigre,negative
356,aigreur,negative
357,aiguille,negative
358,aiguiller,positive
359,aiguillonner,positive
360,aiguiser,positive
361,aiguisoir,negative
362,ail,negative
363,aile,positive
364,ailer,positive
365,aileron,positive
366,aimable,positive
367,aimant,positive
368,aimantation,positive
369,aime,positive
370,aimé,positive
371,aimer,positive
372,aîné,positive
373,air,negative
374,airbag,positive
375,aire,positive
376,aisance,positive
377,aisé,positive
378,aisément,positive
379,ajournement,negative
380,ajourner,negative
381,ajout,positive
382,ajouter,positive
383,ajustage,positive
384,ajustement,positive
385,ajuster,positive
386,alacrité,positive
387,alambiquer,negative
388,alanguir,negative
389,alanguissement,negative
390,alarme,negative
391,alarmer,negative
392,albâtre,positive
393,album,positive
394,alcali,positive
395,alcalin,positive
396,alcaloïde,positive
397,alchimie,positive
398,alcool,negative
399,alcoolisme,negative
400,alcôve,positive
401,alentour,positive
402,alerte,positive
403,alésage,negative
404,Alexithymie,positive
405,algèbre,positive
406,algébrique,positive
407,algorithme,positive
408,alibi,positive
409,alienat,negative
410,aliénation,negative
411,aliéner,negative
412,alignement,positive
413,aligner,positive
414,aliment,positive
415,alimentaire,positive
416,alimentation,positive
417,alimenter,positive
418,alinéa,positive
419,aliquote,positive
420,Allah,positive
421,allaitement,positive
422,allaiter,positive
423,alléchant,positive
424,allécher,positive
425,allégation,negative
426,allégeance,positive
427,allégement,positive
428,allégorie,positive
429,allégorique,positive
430,allégresse,positive
431,allegro,positive
432,allèguent,negative
433,alléguer,negative
434,alléluia,positive
435,allemand,positive
436,aller,positive
437,allergie,negative
438,alliage,positive
439,alliance,positive
440,allier,positive
441,alligator,negative
442,allocataire,positive
443,allocation,positive
444,allocution,positive
445,allongement,positive
446,allonger,negative
447,allouer,positive
448,allumage,positive
449,allumer,positive
450,allumette,positive
451,allure,positive
452,allusion,negative
453,alluvial,positive
454,almanach,positive
455,aloha,positive
456,alol,positive
457,alouette,positive
458,alourdissement,negative
459,alphabet,positive
460,alphabétique,positive
461,alpiniste,positive
462,altération,negative
463,altercation,negative
464,altérer,negative
465,alternatif,positive
466,alternative,positive
467,alterner,positive
468,altitude,positive
469,alto,positive
470,altruisme,positive
471,alvéolaire,positive
472,amabilité,positive
473,amadou / Enflammer,positive
474,amadouer,positive
475,amande,positive
476,amant,positive
477,amarrage,positive
478,amarrer,positive
479,amas,negative
480,amasser,positive
481,amateur,negative
482,amativité,positive
483,amatrice,negative
484,amatrices,negative
485,amaz,positive
486,ambassade,positive
487,ambassadeur,positive
488,ambassadrice,positive
489,ambiance,positive
490,ambiant,positive
491,ambigu,negative
492,ambiguë,negative
493,ambiguit,negative
494,ambiguïté,negative
495,ambitieux,positive
496,ambition,positive
497,ambivalent,negative
498,ambre,positive
499,ambrer,positive
500,ambulance,negative
501,âme,positive
502,améliorant,positive
503,amélioration,positive
504,améliorer,positive
505,amen,positive
506,aménagement,positive
507,amende,positive
508,amendement,positive
509,amender,positive
510,aménité,positive
511,amer,negative
512,amèrement,negative
513,amertume,negative
514,améthyste,positive
515,ami,positive
516,amical,positive
517,amidon,negative
518,amidonner,negative
519,amie,positive
520,amiral,positive
521,amirauté,positive
522,amitié,positive
523,ammoniac,negative
524,amnésie,negative
525,amnistie,positive
526,amoindrir,negative
527,amoindrissement,negative
528,amollissement,negative
529,amor,positive
530,amorçage,positive
531,amorce,positive
532,amorcer,positive
533,amorphe,negative
534,amortir,negative
535,amortisseur,negative
536,amour,positive
537,amourette,negative
538,amoureux,positive
539,amour-propre,negative
540,amphétamine,negative
541,amphibie,positive
542,amphibien,negative
543,amphibiens,negative
544,amphithéâtre,positive
545,amplement,positive
546,ampleur,positive
