         1189724729 function calls (1177296287 primitive calls) in 4362.896 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001 4362.906 4362.906 {built-in method builtins.exec}
        1    0.564    0.564 4362.905 4362.905 <string>:2(<module>)
        2    1.055    0.528 3925.941 1962.970 frame.py:4065(apply)
        2    1.689    0.844 3924.886 1962.443 frame.py:4182(_apply_standard)
    73667   12.173    0.000 3719.446    0.050 tweetProcessor.py:65(process)
    73667   16.047    0.000 1970.244    0.027 tweetProcessor.py:395(score)
   344789   13.798    0.000  981.418    0.003 ops.py:803(wrapper)
   344789    2.973    0.000  839.790    0.002 ops.py:749(na_op)
   294691    1.855    0.000  826.528    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   294691  761.043    0.003  822.602    0.003 {pandas.lib.scalar_compare}
    73667    1.657    0.000  634.061    0.009 tweetProcessor.py:288(correct)
     4021    0.280    0.000  594.166    0.148 tweetProcessor.py:171(translate_online)
  2621057   11.940    0.000  530.230    0.000 __init__.py:1414(_log)
   147334  515.213    0.003  515.213    0.003 {method 'findall' of '_regex.Pattern' objects}
     3943    0.031    0.000  490.075    0.124 request.py:140(urlopen)
     3943    0.090    0.000  490.044    0.124 request.py:508(open)
     3943    0.023    0.000  489.304    0.124 request.py:536(_open)
     7886    0.024    0.000  489.281    0.062 request.py:497(_call_chain)
     3943    0.033    0.000  489.248    0.124 request.py:1345(http_open)
     3943    0.184    0.000  489.215    0.124 request.py:1276(do_open)
     3943    0.088    0.000  481.542    0.122 client.py:1287(getresponse)
     3943    0.170    0.000  481.080    0.122 client.py:290(begin)
     3943    0.211    0.000  477.709    0.121 client.py:257(_read_status)
    59583    0.280    0.000  477.626    0.008 {method 'readline' of '_io.BufferedReader' objects}
     3943    0.060    0.000  477.345    0.121 socket.py:572(readinto)
     3943  477.263    0.121  477.263    0.121 {method 'recv_into' of '_socket.socket' objects}
  4839631   12.052    0.000  453.311    0.000 __init__.py:1279(debug)
        2    0.361    0.180  436.218  218.109 groupby.py:633(apply)
        2    0.003    0.001  435.855  217.927 groupby.py:696(_python_apply_general)
  2621057    7.879    0.000  364.114    0.000 __init__.py:1439(handle)
        2    0.277    0.138  362.112  181.056 groupby.py:1585(apply)
  2621057   14.745    0.000  353.709    0.000 __init__.py:1493(callHandlers)
   147334    6.165    0.000  351.450    0.002 tweetProcessor.py:239(tag)
   884084   11.602    0.000  345.168    0.000 frame.py:2035(__getitem__)
   147334   20.248    0.000  341.075    0.002 treetaggerwrapper.py:1240(tag_text)
  2621143    9.843    0.000  338.964    0.000 __init__.py:845(handle)
  2621065    9.159    0.000  318.672    0.000 handlers.py:63(emit)
        2    0.003    0.001  294.631  147.316 groupby.py:4054(fast_apply)
        2    0.652    0.326  294.216  147.108 {pandas.lib.apply_frame_axis0}
  1375427   22.978    0.000  280.486    0.000 series.py:135(__init__)
    25049    0.061    0.000  275.429    0.011 <string>:6(<lambda>)
    25049    1.474    0.000  275.368    0.011 <ipython-input-2-11ad5caad0fb>:9(propagate_score)
   294694    4.359    0.000  273.572    0.001 frame.py:2078(_getitem_array)
   294697    7.776    0.000  238.362    0.001 generic.py:1650(take)
    73667    5.911    0.000  195.188    0.003 tweetProcessor.py:133(find_relevant_words)
