         942088050 function calls (931728935 primitive calls) in 3702.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.002    0.000 3702.927 3702.927 {built-in method builtins.exec}
        1    1.501    1.501 3702.926 3702.926 <string>:2(<module>)
        2    0.843    0.421 3272.565 1636.282 frame.py:4065(apply)
        2    1.741    0.871 3271.722 1635.861 frame.py:4182(_apply_standard)
    58783    8.628    0.000 3022.122    0.051 tweetProcessor.py:65(process)
    58783   11.742    0.000 1532.529    0.026 tweetProcessor.py:399(score)
   278000   10.172    0.000  720.938    0.003 ops.py:803(wrapper)
    58785    1.208    0.000  669.925    0.011 tweetProcessor.py:292(correct)
     3091    0.225    0.000  637.613    0.206 tweetProcessor.py:172(translate_online)
   278000    2.330    0.000  609.905    0.002 ops.py:749(na_op)
   237626    1.342    0.000  599.620    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   237626  547.944    0.002  596.585    0.003 {pandas.lib.scalar_compare}
     3029    0.023    0.000  564.227    0.186 request.py:140(urlopen)
     3029    0.061    0.000  564.172    0.186 request.py:508(open)
     3029    0.021    0.000  563.618    0.186 request.py:536(_open)
     6060    0.018    0.000  563.597    0.093 request.py:497(_call_chain)
     3029    0.025    0.000  563.571    0.186 request.py:1345(http_open)
     3029    0.140    0.000  563.547    0.186 request.py:1276(do_open)
     3029    0.075    0.000  556.960    0.184 client.py:1287(getresponse)
     3029    0.112    0.000  556.663    0.184 client.py:290(begin)
    45662    0.199    0.000  554.363    0.012 {method 'readline' of '_io.BufferedReader' objects}
     3029    0.121    0.000  554.201    0.183 client.py:257(_read_status)
     3031    0.031    0.000  554.163    0.183 socket.py:572(readinto)
     3031  554.116    0.183  554.116    0.183 {method 'recv_into' of '_socket.socket' objects}
   117566  444.233    0.004  444.233    0.004 {method 'findall' of '_regex.Pattern' objects}
        2    0.320    0.160  428.735  214.367 groupby.py:633(apply)
        2    0.003    0.001  428.413  214.206 groupby.py:696(_python_apply_general)
  1662001    7.607    0.000  335.275    0.000 __init__.py:1414(_log)
        2    0.356    0.178  333.766  166.883 groupby.py:1585(apply)
   117566    4.713    0.000  293.080    0.002 tweetProcessor.py:240(tag)
   117566   15.391    0.000  285.117    0.002 treetaggerwrapper.py:1240(tag_text)
   712889    8.227    0.000  274.872    0.000 frame.py:2035(__getitem__)
  3428543    7.521    0.000  274.759    0.000 __init__.py:1279(debug)
  1143318   20.447    0.000  265.186    0.000 series.py:135(__init__)
        2    0.000    0.000  238.674  119.337 groupby.py:4054(fast_apply)
        2    0.499    0.250  238.324  119.162 {pandas.lib.apply_frame_axis0}
