         1212755332 function calls (1200293119 primitive calls) in 4715.392 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.003    0.001 4715.407 4715.407 {built-in method builtins.exec}
        1    2.570    2.570 4715.405 4715.405 <string>:2(<module>)
        2    1.484    0.742 4256.652 2128.326 frame.py:4065(apply)
        2    1.742    0.871 4255.168 2127.584 frame.py:4182(_apply_standard)
    72583   12.571    0.000 4012.815    0.055 tweetProcessor.py:65(process)
    72583   16.013    0.000 1934.513    0.027 tweetProcessor.py:395(score)
    72584    2.118    0.000  897.445    0.012 tweetProcessor.py:288(correct)
   340890   12.561    0.000  890.491    0.003 ops.py:803(wrapper)
     5754    0.430    0.000  826.318    0.144 tweetProcessor.py:171(translate_online)
   340890    2.788    0.000  753.907    0.002 ops.py:749(na_op)
   292808    1.716    0.000  741.024    0.003 ops.py:727(_comp_method_OBJECT_ARRAY)
   292808  675.428    0.002  737.081    0.003 {pandas.lib.scalar_compare}
     5667    0.050    0.000  680.607    0.120 request.py:140(urlopen)
     5667    0.120    0.000  680.538    0.120 request.py:508(open)
     5667    0.031    0.000  679.476    0.120 request.py:536(_open)
    11338    0.037    0.000  679.454    0.060 request.py:497(_call_chain)
     5667    0.048    0.000  679.396    0.120 request.py:1345(http_open)
     5667    0.297    0.000  679.348    0.120 request.py:1276(do_open)
     5667    0.119    0.000  668.961    0.118 client.py:1287(getresponse)
     5667    0.242    0.000  668.426    0.118 client.py:290(begin)
     5667    0.253    0.000  663.997    0.117 client.py:257(_read_status)
    85550    0.380    0.000  663.929    0.008 {method 'readline' of '_io.BufferedReader' objects}
     5667    0.073    0.000  663.549    0.117 socket.py:572(readinto)
     5667  663.443    0.117  663.443    0.117 {method 'recv_into' of '_socket.socket' objects}
   145166  581.411    0.004  581.411    0.004 {method 'findall' of '_regex.Pattern' objects}
  2646433   12.138    0.000  561.316    0.000 __init__.py:1414(_log)
  4823314   13.166    0.000  480.128    0.000 __init__.py:1279(debug)
        2    0.448    0.224  456.028  228.014 groupby.py:633(apply)
        2    0.002    0.001  455.576  227.788 groupby.py:696(_python_apply_general)
  2646433    6.517    0.000  393.167    0.000 __init__.py:1439(handle)
  2646433   17.057    0.000  383.940    0.000 __init__.py:1493(callHandlers)
   145166    6.319    0.000  382.220    0.003 tweetProcessor.py:239(tag)
        2    0.214    0.107  372.550  186.275 groupby.py:1585(apply)
   145166   20.437    0.000  371.739    0.003 treetaggerwrapper.py:1240(tag_text)
  2646535    9.918    0.000  366.883    0.000 __init__.py:845(handle)
  2646445    8.138    0.000  345.823    0.000 handlers.py:63(emit)
   878435   10.559    0.000  335.949    0.000 frame.py:2035(__getitem__)
        2    0.000    0.000  295.474  147.737 groupby.py:4054(fast_apply)
        2    0.613    0.307  294.532  147.266 {pandas.lib.apply_frame_axis0}
  1366664   22.468    0.000  282.093    0.000 series.py:135(__init__)
    24041    0.064    0.000  275.816    0.011 <string>:6(<lambda>)
    24041    1.461    0.000  275.752    0.011 <ipython-input-2-9276e7b128d0>:8(propagate_score)
   292811    4.218    0.000  269.881    0.001 frame.py:2078(_getitem_array)
   292814    7.405    0.000  236.102    0.001 generic.py:1650(take)
    72583    6.827    0.000  217.378    0.003 tweetProcessor.py:133(find_relevant_words)
   292814    6.405    0.000  193.196    0.001 internals.py:3943(take)
