         2098685989 function calls (2070205242 primitive calls) in 8408.946 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.001    0.000 8408.959 8408.959 {built-in method builtins.exec}
        1    1.071    1.071 8408.959 8408.959 <string>:2(<module>)
        2    1.497    0.748 7705.130 3852.565 frame.py:4065(apply)
        2    3.262    1.631 7703.634 3851.817 frame.py:4182(_apply_standard)
   158213   25.029    0.000 7343.226    0.046 tweetProcessor.py:65(process)
   158214    2.771    0.000 3856.263    0.024 tweetProcessor.py:292(correct)
     7424    0.493    0.000 3787.432    0.510 tweetProcessor.py:172(translate_online)
     7119    0.056    0.000 3620.341    0.509 request.py:140(urlopen)
     7119    0.148    0.000 3620.268    0.509 request.py:508(open)
     7119    0.038    0.000 3619.075    0.508 request.py:536(_open)
    14238    0.044    0.000 3619.037    0.254 request.py:497(_call_chain)
     7119    0.058    0.000 3618.977    0.508 request.py:1345(http_open)
     7119    0.334    0.000 3618.919    0.508 request.py:1276(do_open)
     7119    0.142    0.000 3606.131    0.507 client.py:1287(getresponse)
     7119    0.289    0.000 3605.488    0.506 client.py:290(begin)
   107473    0.496    0.000 3602.912    0.034 {method 'readline' of '_io.BufferedReader' objects}
     7120    0.110    0.000 3602.415    0.506 socket.py:572(readinto)
     7120 3602.268    0.506 3602.268    0.506 {method 'recv_into' of '_socket.socket' objects}
     7119    0.329    0.000 3600.175    0.506 client.py:257(_read_status)
   158213   16.761    0.000 1861.507    0.012 tweetProcessor.py:399(score)
   158213  721.753    0.005  721.753    0.005 {method 'findall' of '_regex.Pattern' objects}
   316426   11.622    0.000  708.660    0.002 tweetProcessor.py:240(tag)
        2    0.615    0.307  702.534  351.267 groupby.py:633(apply)
        2    0.007    0.004  701.919  350.959 groupby.py:696(_python_apply_general)
   316426   38.156    0.000  689.224    0.002 treetaggerwrapper.py:1240(tag_text)
        2    0.414    0.207  563.829  281.914 groupby.py:1585(apply)
        2    0.000    0.000  443.221  221.611 groupby.py:4054(fast_apply)
        2    0.839    0.419  442.365  221.182 {pandas.lib.apply_frame_axis0}
    47614    0.074    0.000  413.857    0.009 <string>:6(<lambda>)
    47614    2.009    0.000  413.784    0.009 <ipython-input-2-11ad5caad0fb>:9(propagate_score)
   170943   12.699    0.000  412.889    0.002 groupby.py:3872(count)
  2367674   31.462    0.000  380.219    0.000 series.py:135(__init__)
  9257826  359.202    0.000  359.202    0.000 {method 'readline' of '_io._IOBase' objects}
   158215    1.406    0.000  341.522    0.002 merge.py:1396(concat)
   974749   10.520    0.000  332.940    0.000 frame.py:2035(__getitem__)
   316426    5.260    0.000  316.840    0.001 series.py:2440(isin)
  4200743   16.223    0.000  291.451    0.000 series.py:600(__getitem__)
   757795    9.231    0.000  283.568    0.000 generic.py:2224(reindex)
   693204    7.222    0.000  272.233    0.000 internals.py:3813(reindex_indexer)
   316426    4.741    0.000  267.273    0.001 algorithms.py:115(isin)
  1435846    9.855    0.000  266.383    0.000 frame.py:252(__init__)
   316429    4.277    0.000  255.900    0.001 frame.py:2078(_getitem_array)
   316426    1.847    0.000  253.737    0.001 algorithms.py:161(<lambda>)
   316426  251.890    0.001  251.890    0.001 {pandas.lib.ismember}
  1043667    4.624    0.000  230.927    0.000 __init__.py:1291(info)
  1043972    5.236    0.000  224.840    0.000 __init__.py:1414(_log)
   316432    7.005    0.000  223.130    0.001 generic.py:1650(take)
2810085/2045176   49.277    0.000  222.210    0.000 base.py:142(__new__)
   222814    7.739    0.000  210.953    0.001 tweetProcessor.py:263(candidate_reference)
   170943    1.495    0.000  208.584    0.001 groupby.py:3747(_get_data_to_aggregate)
   170943    0.822    0.000  206.621    0.001 base.py:317(_obj_with_exclusions)
   158213    1.304    0.000  206.153    0.001 series.py:1530(append)
   170943    3.881    0.000  205.756    0.001 generic.py:1876(drop)
394511279/394511179  140.724    0.000  203.659    0.000 {built-in method builtins.isinstance}
   158215    6.987    0.000  187.598    0.001 merge.py:1460(__init__)
  2413673   32.592    0.000  183.832    0.000 algorithms.py:1010(take_nd)
   316432    6.558    0.000  181.804    0.001 internals.py:3943(take)
   218557    1.400    0.000  173.308    0.001 frame.py:2818(reindex)
    95226    1.309    0.000  167.480    0.002 frame.py:3852(first_valid_index)
   205827    1.289    0.000  166.630    0.001 frame.py:5391(_arrays_to_mgr)
   316426   11.195    0.000  166.547    0.001 treetaggerwrapper.py:1454(_prepare_text)
   376772    6.015    0.000  163.087    0.000 generic.py:2350(_reindex_with_indexers)
  1503300   11.306    0.000  158.050    0.000 internals.py:2745(__init__)
   158215    1.909    0.000  156.751    0.001 frame.py:349(_init_dict)
  1043972    3.124    0.000  154.216    0.000 __init__.py:1439(handle)
   158215    3.069    0.000  152.518    0.001 merge.py:1599(get_result)
     7118    0.382    0.000  151.603    0.021 __init__.py:87(__init__)
   218557    1.528    0.000  151.394    0.001 frame.py:2755(_reindex_axes)
     7118    0.061    0.000  150.647    0.021 __init__.py:285(_feed)
     7118    0.150    0.000  150.571    0.021 _html5lib.py:61(feed)
  1043972    6.151    0.000  150.002    0.000 __init__.py:1493(callHandlers)
   218557    1.374    0.000  149.866    0.001 frame.py:2780(_reindex_columns)
   409010    6.992    0.000  145.696    0.000 internals.py:2978(apply)
  1044293    4.065    0.000  143.852    0.000 __init__.py:845(handle)
   158213    1.864    0.000  141.205    0.001 series.py:646(_get_with)
     7118    0.062    0.000  140.835    0.020 html5parser.py:223(parse)
     7118    0.111    0.000  140.770    0.020 html5parser.py:80(_parse)
  1228210    9.798    0.000  139.537    0.000 internals.py:1001(take_nd)
        2    0.000    0.000  138.083   69.041 groupby.py:3301(_wrap_applied_output)
        2    0.065    0.032  138.083   69.041 groupby.py:845(_concat_objects)
  1043987    4.018    0.000  134.854    0.000 handlers.py:63(emit)
507879/345199    2.149    0.000  134.287    0.000 indexing.py:1302(__getitem__)
