         1077982677 function calls (1065954259 primitive calls) in 3003.905 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001 3003.905 3003.905 {built-in method builtins.exec}
        1    0.228    0.228 3003.904 3003.904 <string>:2(<module>)
        2    0.489    0.244 2644.901 1322.450 frame.py:4065(apply)
        2    1.173    0.587 2644.412 1322.206 frame.py:4182(_apply_standard)
    68177    8.887    0.000 2502.833    0.037 tweetProcessor.py:65(process)
    68177   11.502    0.000 1532.976    0.022 tweetProcessor.py:395(score)
   336601    9.720    0.000  683.307    0.002 ops.py:803(wrapper)
   336601    2.218    0.000  579.370    0.002 ops.py:749(na_op)
   289281    1.258    0.000  568.551    0.002 ops.py:727(_comp_method_OBJECT_ARRAY)
   289281  517.076    0.002  565.535    0.002 {pandas.lib.scalar_compare}
   136354  494.738    0.004  494.738    0.004 {method 'findall' of '_regex.Pattern' objects}
  2462862    9.798    0.000  422.126    0.000 __init__.py:1414(_log)
  4501233    9.709    0.000  363.387    0.000 __init__.py:1279(debug)
        2    0.345    0.173  358.496  179.248 groupby.py:633(apply)
        2    0.002    0.001  358.151  179.075 groupby.py:696(_python_apply_general)
        2    0.201    0.100  298.866  149.433 groupby.py:1585(apply)
  2462862    5.314    0.000  290.727    0.000 __init__.py:1439(handle)
   136354    4.742    0.000  290.112    0.002 tweetProcessor.py:239(tag)
  2462862   12.952    0.000  283.452    0.000 __init__.py:1493(callHandlers)
   136354   15.204    0.000  282.082    0.002 treetaggerwrapper.py:1240(tag_text)
  2462949    7.506    0.000  270.500    0.000 __init__.py:845(handle)
   867854    7.852    0.000  256.364    0.000 frame.py:2035(__getitem__)
  2462862    7.368    0.000  254.858    0.000 handlers.py:63(emit)
        2    0.000    0.000  229.623  114.811 groupby.py:4054(fast_apply)
        2    0.451    0.225  229.389  114.695 {pandas.lib.apply_frame_axis0}
    23660    0.047    0.000  214.482    0.009 <string>:6(<lambda>)
    23660    1.116    0.000  214.435    0.009 <ipython-input-2-9276e7b128d0>:8(propagate_score)
   289284    3.418    0.000  204.728    0.001 frame.py:2078(_getitem_array)
  1324368   16.808    0.000  203.216    0.000 series.py:135(__init__)
   289287    5.647    0.000  177.683    0.001 generic.py:1650(take)
    68177    4.888    0.000  168.975    0.002 tweetProcessor.py:133(find_relevant_words)
  4055876  149.917    0.000  149.917    0.000 {method 'readline' of '_io._IOBase' objects}
   289287    5.251    0.000  144.320    0.000 internals.py:3943(take)
    68179    0.600    0.000  141.766    0.002 merge.py:1396(concat)
  2462862    3.085    0.000  131.425    0.000 __init__.py:1056(emit)
  2462949    7.149    0.000  128.629    0.000 __init__.py:975(emit)
   381126    3.299    0.000  124.570    0.000 internals.py:3813(reindex_indexer)
  4925811    5.282    0.000  117.996    0.000 __init__.py:822(format)
  2462862   11.944    0.000  115.638    0.000 handlers.py:177(shouldRollover)
   574725    3.914    0.000  114.206    0.000 frame.py:252(__init__)
  1518420    6.576    0.000  113.062    0.000 series.py:600(__getitem__)
  4925811   18.658    0.000  112.708    0.000 __init__.py:557(format)
  2462862    6.763    0.000   94.855    0.000 __init__.py:1399(makeRecord)
173451395/173451246   62.712    0.000   93.878    0.000 {built-in method builtins.isinstance}
  2462862   43.151    0.000   88.091    0.000 __init__.py:246(__init__)
    47318    0.707    0.000   87.728    0.002 frame.py:3852(first_valid_index)
    80089    2.848    0.000   86.943    0.001 tweetProcessor.py:262(candidate_reference)
    68177    0.495    0.000   83.534    0.001 series.py:1530(append)
  1026132    8.520    0.000   82.893    0.000 series.py:2817(_sanitize_array)
  1051016   14.733    0.000   80.595    0.000 algorithms.py:1010(take_nd)
   450798    1.996    0.000   80.086    0.000 __init__.py:1291(info)
314112/182873    1.385    0.000   79.226    0.000 indexing.py:1302(__getitem__)
    68178    1.186    0.000   78.605    0.001 tweetProcessor.py:288(correct)
    68179    2.743    0.000   77.918    0.001 merge.py:1460(__init__)
   694090    5.440    0.000   76.164    0.000 internals.py:1001(take_nd)
1020358/719673   16.625    0.000   75.775    0.000 base.py:142(__new__)
  2462949   11.346    0.000   71.594    0.000 __init__.py:964(flush)
 21110413   31.075    0.000   70.623    0.000 dtypes.py:74(is_dtype)
    47318    0.786    0.000   69.199    0.001 frame.py:4846(count)
   136354    4.533    0.000   67.902    0.000 treetaggerwrapper.py:1454(_prepare_text)
   289289    1.578    0.000   67.901    0.000 internals.py:3848(<listcomp>)
    91837    0.533    0.000   67.730    0.001 frame.py:5391(_arrays_to_mgr)
   602700    4.564    0.000   63.795    0.000 internals.py:2745(__init__)
    68179    1.237    0.000   63.248    0.001 merge.py:1599(get_result)
  4925724   16.831    0.000   62.495    0.000 __init__.py:490(formatTime)
    68179    3.577    0.000   62.129    0.001 frame.py:349(_init_dict)
   228189    2.390    0.000   60.541    0.000 generic.py:2224(reindex)
    27975    0.047    0.000   59.432    0.002 <string>:3(<lambda>)
    27975    0.528    0.000   59.384    0.002 <ipython-input-2-9276e7b128d0>:1(propagate_candidates)
        2    0.000    0.000   59.283   29.642 groupby.py:3301(_wrap_applied_output)
        2    0.026    0.013   59.283   29.642 groupby.py:845(_concat_objects)
   131239    1.856    0.000   58.573    0.000 indexing.py:894(_getitem_lowerdim)
    23662    0.314    0.000   57.422    0.002 internals.py:4807(concatenate_block_managers)
    68177    0.754    0.000   56.507    0.001 series.py:646(_get_with)
   998159    3.873    0.000   54.632    0.000 series.py:2834(_try_cast)
       90    0.003    0.000   53.911    0.599 tweetProcessor.py:171(translate_online)
        5    0.000    0.000   53.650   10.730 request.py:140(urlopen)
      6/5    0.001    0.000   53.649   10.730 request.py:508(open)
    13/11    0.000    0.000   53.646    4.877 request.py:497(_call_chain)
        6    0.000    0.000   53.645    8.941 request.py:536(_open)
        6    0.000    0.000   53.645    8.941 request.py:1345(http_open)
        6    0.001    0.000   53.644    8.941 request.py:1276(do_open)
  2462862   52.875    0.000   52.875    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
