FOR ~10000 Tweets processed
         66128862 function calls (65856500 primitive calls) in 481.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.001    0.000  481.620  481.620 {built-in method builtins.exec}
        1    0.508    0.508  481.619  481.619 <string>:2(<module>)
     5502    0.537    0.000  468.031    0.085 textProcessor.py:64(process)
     5502    0.147    0.000  264.920    0.048 textProcessor.py:255(correct)
     1333    0.079    0.000  260.763    0.196 textProcessor.py:146(translate_online)
     1331    0.007    0.000  233.577    0.175 request.py:140(urlopen)
     1331    0.023    0.000  233.557    0.175 request.py:508(open)
     1331    0.006    0.000  233.354    0.175 request.py:536(_open)
     2662    0.006    0.000  233.348    0.088 request.py:497(_call_chain)
     1331    0.009    0.000  233.339    0.175 request.py:1345(http_open)
     1331    0.052    0.000  233.330    0.175 request.py:1276(do_open)
     1331    0.021    0.000  231.071    0.174 client.py:1287(getresponse)
     1331    0.050    0.000  230.966    0.174 client.py:290(begin)
     1331    0.047    0.000  230.138    0.173 client.py:257(_read_status)
    20096    0.081    0.000  230.133    0.011 {method 'readline' of '_io.BufferedReader' objects}
     1331    0.014    0.000  230.051    0.173 socket.py:572(readinto)
     1331  230.031    0.173  230.031    0.173 {method 'recv_into' of '_socket.socket' objects}
     5502    1.019    0.000  138.224    0.025 textProcessor.py:377(score)
    23208    0.784    0.000   63.884    0.003 ops.py:803(wrapper)
    23208    0.115    0.000   55.275    0.002 ops.py:749(na_op)
    23208    0.103    0.000   54.760    0.002 ops.py:727(_comp_method_OBJECT_ARRAY)
    23208   50.105    0.002   54.488    0.002 {pandas.lib.scalar_compare}
   228401    0.970    0.000   41.271    0.000 __init__.py:1414(_log)
    11004   40.921    0.004   40.921    0.004 {method 'findall' of '_regex.Pattern' objects}
    11004    0.411    0.000   28.696    0.003 textProcessor.py:210(tag)
   228401    0.521    0.000   28.122    0.000 __init__.py:1439(handle)
    11004    1.415    0.000   28.002    0.003 treetaggerwrapper.py:1240(tag_text)
   228401    1.225    0.000   27.407    0.000 __init__.py:1493(callHandlers)
   228410    0.732    0.000   26.182    0.000 __init__.py:845(handle)
   335396    0.804    0.000   26.090    0.000 __init__.py:1279(debug)
     1331    0.057    0.000   24.705    0.019 __init__.py:87(__init__)
   228408    0.642    0.000   24.616    0.000 handlers.py:63(emit)
     1331    0.009    0.000   24.570    0.018 __init__.py:285(_feed)
     1331    0.022    0.000   24.560    0.018 _html5lib.py:61(feed)
    69624    0.739    0.000   23.644    0.000 frame.py:2035(__getitem__)
     1331    0.009    0.000   22.900    0.017 html5parser.py:223(parse)
     1331    0.015    0.000   22.891    0.017 html5parser.py:80(_parse)
     1331    0.942    0.001   21.910    0.016 html5parser.py:152(mainLoop)
    23208    0.280    0.000   18.933    0.001 frame.py:2078(_getitem_array)
    94630    0.440    0.000   17.386    0.000 __init__.py:1291(info)
    23208    0.494    0.000   16.441    0.001 generic.py:1650(take)
   331828   16.124    0.000   16.124    0.000 {method 'readline' of '_io._IOBase' objects}
     5502    0.525    0.000   15.551    0.003 textProcessor.py:108(find_relevant_words)
    23208    0.464    0.000   13.395    0.001 internals.py:3943(take)
   228408    0.329    0.000   12.741    0.000 __init__.py:1056(emit)
   228410    0.874    0.000   12.417    0.000 __init__.py:975(emit)
   456818    0.524    0.000   11.911    0.000 __init__.py:822(format)
   456818    1.879    0.000   11.388    0.000 __init__.py:557(format)
   228408    1.139    0.000   11.215    0.000 handlers.py:177(shouldRollover)
   229189    0.299    0.000   10.754    0.000 html5parser.py:219(normalizedTokens)
   229189    1.723    0.000    9.896    0.000 _tokenizer.py:49(__iter__)
    23208    0.211    0.000    9.676    0.000 internals.py:3813(reindex_indexer)
   228401    0.666    0.000    9.577    0.000 __init__.py:1399(makeRecord)
   228401    4.215    0.000    8.910    0.000 __init__.py:246(__init__)
    13188    0.355    0.000    6.865    0.001 textProcessor.py:233(get_candidate_reference)
    46416    0.582    0.000    6.538    0.000 series.py:135(__init__)
    11004    0.410    0.000    6.430    0.001 treetaggerwrapper.py:1454(_prepare_text)
    23208    0.142    0.000    6.375    0.000 internals.py:3848(<listcomp>)
   456816    1.669    0.000    6.290    0.000 __init__.py:490(formatTime)
    46416    0.410    0.000    6.199    0.000 internals.py:1001(take_nd)
   228410    0.838    0.000    6.141    0.000 __init__.py:964(flush)
85184/79860    0.211    0.000    5.730    0.000 html5parser.py:410(processStartTag)
    46416    0.910    0.000    4.848    0.000 algorithms.py:1010(take_nd)
6964673/6964667    3.090    0.000    4.556    0.000 {built-in method builtins.isinstance}
   228408    4.506    0.000    4.506    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    78529    0.361    0.000    4.487    0.000 base.py:292(insertElementNormal)
23211/23210    0.253    0.000    4.312    0.000 <frozen importlib._bootstrap>:958(_find_and_load)
     5502    0.025    0.000    4.223    0.001 textProcessor.py:365(remove_emojis)
     5502    0.197    0.000    3.857    0.001 textProcessor.py:120(filter_words_only)
   113045    3.460    0.000    3.584    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   200325    3.565    0.000    3.565    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    15230    1.325    0.000    3.558    0.000 treetaggerwrapper.py:1593(_prepare_part)
23211/23210    0.212    0.000    3.275    0.000 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
    46416    0.131    0.000    3.256    0.000 frame.py:2061(_getitem_column)
    46416    0.208    0.000    3.125    0.000 generic.py:1381(_get_item_cache)
        4    0.014    0.004    3.067    0.767 tweetStream.py:66(load)
    23208    0.212    0.000    3.022    0.000 internals.py:2745(__init__)
    86772    0.205    0.000    3.004    0.000 base.py:318(insertText)
    23211    0.526    0.000    2.960    0.000 <frozen importlib._bootstrap>:861(_find_spec)
   456816    2.798    0.000    2.798    0.000 {built-in method time.strftime}
   166632    0.861    0.000    2.775    0.000 _html5lib.py:230(appendChild)
    86772    0.295    0.000    2.771    0.000 _html5lib.py:313(insertText)
    23208    0.286    0.000    2.738    0.000 series.py:2817(_sanitize_array)
   487368    0.949    0.000    2.690    0.000 dtypes.py:74(is_dtype)
     7373    2.634    0.000    2.634    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    11004    0.103    0.000    2.622    0.000 threading.py:828(start)
   228401    1.225    0.000    2.602    0.000 __init__.py:1369(findCaller)
   228408    2.373    0.000    2.450    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
     1331    0.005    0.000    2.164    0.002 client.py:1236(request)
     1331    0.024    0.000    2.159    0.002 client.py:1241(_send_request)
     2662    0.015    0.000    2.131    0.001 element.py:1273(find)
     2662    0.012    0.000    2.115    0.001 element.py:1284(find_all)
     2662    0.170    0.000    2.103    0.001 element.py:518(_find_all)
  1814300    1.489    0.000    2.090    0.000 _inputstream.py:240(char)
    23211    0.056    0.000    2.075    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
     1331    0.005    0.000    2.043    0.002 client.py:1223(endheaders)
     1331    0.007    0.000    2.038    0.002 client.py:1017(_send_output)
     1331    0.011    0.000    2.030    0.002 client.py:956(send)
    23211    0.197    0.000    2.019    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
   123546    1.983    0.000    1.983    0.000 {method 'spell' of 'HunSpell' objects}
     1331    0.016    0.000    1.970    0.001 client.py:933(connect)
     1331    0.015    0.000    1.945    0.001 socket.py:688(create_connection)
  1306368    1.913    0.000    1.913    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
3180480/2936947    1.210    0.000    1.853    0.000 {built-in method builtins.len}
       16    1.843    0.115    1.843    0.115 {built-in method io.open}
   456816    1.824    0.000    1.824    0.000 {built-in method time.localtime}
    46416    0.402    0.000    1.788    0.000 cast.py:227(_maybe_promote)
   316879    1.050    0.000    1.749    0.000 _inputstream.py:320(charsUntil)
    23208    0.135    0.000    1.720    0.000 series.py:2834(_try_cast)
   127776    0.234    0.000    1.706    0.000 element.py:1675(search)
    23208    0.711    0.000    1.699    0.000 internals.py:2841(_rebuild_blknos_and_blklocs)
    23212    0.507    0.000    1.686    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
   199650    0.443    0.000    1.674    0.000 _tokenizer.py:242(dataState)
     1331    0.022    0.000    1.635    0.001 html5parser.py:60(__init__)
   228932    0.705    0.000    1.627    0.000 _tokenizer.py:873(attributeNameState)
    11018    0.101    0.000    1.624    0.000 threading.py:533(wait)
   232080    0.243    0.000    1.609    0.000 common.py:102(is_categorical_dtype)
     1331    0.014    0.000    1.601    0.001 socket.py:726(getaddrinfo)
     1331    1.528    0.001    1.560    0.001 {built-in method _socket.getaddrinfo}
   228401    0.521    0.000    1.538    0.000 posixpath.py:119(splitext)
     1331    0.074    0.000    1.529    0.001 html5parser.py:77(<listcomp>)
   249154    0.752    0.000    1.526    0.000 _html5lib.py:289(setAttributes)
    44016    0.144    0.000    1.520    0.000 treetaggerwrapper.py:1772(build_with_callable)
